lead_id,created_at,vertical,traffic_source,sub_id,state,cpl,status,buyer,sold_price,return_reason
L000001,2026-06-01 9:54,bathroom,facebook,fb_03,CA,31.34,sold,BuyerB,44.98,
L000002,2026-06-01 6:20,windows,native,nt_02,NJ,12.46,sold,BuyerB,28.41,
L000003,2026-06-01 14:05,windows,facebook,fb_07,CA,18.06,returned,BuyerA,28.79,not_homeowner
L000004,2026-06-01 19:11,windows,google,g_04,TN,21.99,sold,BuyerA,30.18,
L000005,2026-06-01 20:09,bathroom,facebook,fb_05,ID,24.81,unsold,,,
L000006,2026-06-01 11:03,windows,facebook,fb_02,NC,22.16,sold,BuyerA,28.01,
L000007,2026-06-01 12:33,bathroom,native,nt_01,AZ,20.87,sold,BuyerB,43.76,
L000008,2026-06-01 16:45,roofing,facebook,fb_01,CO,25.9,returned,BuyerA,33.42,no_answer
L000009,2026-06-01 23:32,windows,facebook,fb_06,PA,18,sold,BuyerA,30.31,
L000010,2026-06-01 14:44,roofing,native,nt_01,TX,19.59,sold,BuyerC,52.29,
L000011,2026-06-01 17:23,roofing,facebook,fb_03,GA,25.09,sold,BuyerC,52.2,
L000012,2026-06-01 18:49,windows,native,nt_01,NY,15.9,sold,BuyerA,29.06,
L000013,2026-06-01 11:25,roofing,google,g_03,MI,35.43,sold,BuyerA,33.24,
L000014,2026-06-01 13:06,windows,facebook,fb_07,AZ,18.48,returned,BuyerA,31.1,not_homeowner
L000015,2026-06-01 11:45,bathroom,google,g_02,TX,36.23,returned,BuyerB,42.98,no_answer
L000016,2026-06-01 11:15,roofing,facebook,fb_03,AZ,19.19,sold,BuyerD,33.72,
L000017,2026-06-01 20:14,windows,google,g_03,MI,29.79,unsold,,,
L000018,2026-06-01 9:11,bathroom,native,nt_02,SC,17.54,sold,BuyerB,43.98,
L000019,2026-06-01 7:07,bathroom,native,nt_01,FL,21.56,sold,BuyerB,45.01,
L000020,2026-06-01 15:43,bathroom,native,nt_01,FL,22.9,sold,BuyerB,45.78,
